"","BMP","DP","Municípios","Unidade Territorial"
"116","32°",130,"Carapebus","Centro, UB-S, Rodagem, Carapebus e Praia de Carapebus"
"117","33°",165,"Mangaratiba","Mangaratiba, Conceição de Jacareí, Vila Muriquí, Itacuruçá"
"118","33°",166,"Angra dos Reis","Angra dos Reis, Jacuecanga, Cunhambebe, Mambucaba, Abraão e Praia de Araçatiba"
"119","33°",167,"Paraty","Paraty, Paraty-Mirim e Tarituba"
"120","34°",65,"Magé","Magé, Santo Aleixo e Suruí"
"121","34°",66,"Magé","Inhomirim e Guia de Copaíba"
"122","34°",67,"Guapimirim","Guapimirim"
"123","35°",70,"Tanguá","Tanguá"
"124","35°",71,"Itaboraí","Itaboraí, Cabuçú, Itambí, Porto das Caixas e Sambaetiba"
"125","35°",119,"Rio Bonito","Rio Bonito e Boa Esperança"
"126","35°",120,"Silva Jardim","Silva Jardim, Aldeia Velha, Correntezas e Gaviões"
"127","35°",159,"Cachoeiras de Macacu","Cachoeiras de Macacu, Japuíba e Subaio"
"128","36°",135,"Itaocara","Itaocara, Portela, Batatal, Laranjais, Jaguarembe e Estrada Nova"
"129","36°",136,"Santo Antônio de Pádua","Santo Antônio de Pádua, Campelo, Paraoquena, Monte Alegre, Ibitiguaçú, Santa Cruz, Baltazar, Marangatú e São Pedro de Alcântara"
"130","36°",136,"Aperibé","Aperibé"
"131","36°",137,"Miracema","Miracema, Venda das Flores e Paraíso do Tobias"
"132","36°",142,"Cambuci","Cambuci, Três Irmãos, Funil, Monte Verde e São João do Paraíso"
"133","36°",155,"São Sebastião do Alto","São Sebastião do Alto, Valão do Barro e Ipituna"
"134","37°",89,"Resende","Resende, Engenheiro Passos, Agulhas Negras, Pedra Selada e Fumaça"
"135","37°",99,"Itatiaia","Itatiaia"
"136","37°",100,"Porto Real","Porto Real"
"137","37°",100,"Quatis","Quatis, Falcão e Ribeirão de São Joaquim"
"138","38°",107,"Paraíba do Sul","Paraíba do Sul, Werneck, Salutaris e Inconfidência"
"139","38°",108,"Comendador Levy Gasparian","Comendador Levy Gasparian e Afonso Arinos"
"140","38°",108,"Areal","Areal"
"141","38°",108,"Três Rios","Três Rios e Bemposta"
"142","38°",109,"Sapucaia","Sapucaia, Anta, Pião, Nossa Senhora Aparecida e Jamapara"
"143","39°",54,"Belford Roxo","Areia Branca, Jardim Redentor, Parque São José, Nova Aurora e Lote XV"
"144","40°",35,"RJ","Campo Grande, Cosmos, Inhoaíba, Santíssimo e Senador Vasconcelos"
"145","41°",27,"RJ","Colégio, Irajá, Vicente de Carvalho, Vila Kosmos, Vila da Penha e Vista Alegre"
"146","41°",31,"RJ","Anchieta, Guadalupe, Parque Anchieta e Ricardo de Albuquerque"
"147","41°",39,"RJ","Acari, Barros Filho, Costa Barros, Parque Colúmbia e Pavuna"
